GAS,ID,MARKET_DOMAIN_DESCR,MOD_VOLUME_CONSUMPTION,Sum of Sales_CR,TIMESTAMP - Month,TIMESTAMP - Year,ZIPcode,new_GAS,new_MARKET_DOMAIN_DESCR,new_TIMESTAMP - Month
NI,148.0,T&R,414506.5575,-0.388741622,November,2015,5287.0,2,6,9
NI,178.0,T&R,37239.02813,0.398252362,November,2016,3492.0,2,6,9
NI,178.0,T&R,92217.04307999999,0.398252362,November,2015,3492.0,2,6,9
NI,228.0,T&R,71644.84557,-0.5064954770000001,November,2015,6291.0,2,6,9
NI,240.0,T&R,60860.28792,-0.5570986960000001,November,2015,0.0,2,6,9
NI,244.0,Others,77765.74164,-0.510435148,November,2015,4988.0,2,5,9
NI,244.0,Others,145195.7528,-0.510435148,November,2016,4988.0,2,5,9
NI,270.0,T&R,17518.72552,-0.388741622,November,2016,5287.0,2,6,9
NI,270.0,T&R,113855.1147,-0.388741622,November,2015,5287.0,2,6,9
OX,272.0,MD,17361.81125,-0.475529975,November,2015,5746.0,3,4,9
OX,272.0,MD,27714.822210000002,-0.475529975,November,2016,5746.0,3,4,9
NI,278.0,T&R,103987.3156,-0.47158435299999996,November,2015,1399.0,2,6,9
NI,288.0,F&P,83607.62071,-0.551440209,November,2015,7389.0,2,2,9
NI,288.0,F&P,2344323.6580000003,-0.551440209,November,2016,7389.0,2,2,9
NI,343.0,T&R,448407.6824,0.544737119,November,2015,3492.0,2,6,9
NI,345.0,T&R,333279.9642,1.528726399,November,2015,3492.0,2,6,9
NI,345.0,T&R,390264.9207,1.528726399,November,2016,3492.0,2,6,9
NI,348.0,T&R,370808.7698,0.84524383,November,2015,7687.0,2,6,9
NI,348.0,T&R,843278.8333,0.84524383,November,2016,7687.0,2,6,9
NI,361.0,T&R,331192.5368,-0.072595609,November,2015,0.0,2,6,9
CB,370.0,T&R,43799.72718,-0.595282627,November,2015,1098.0,1,6,9
CB,370.0,T&R,45560.61796,-0.595282627,November,2016,1098.0,1,6,9
OX,378.0,F&P,12179.07906,-0.48359058200000005,November,2015,6373.0,3,2,9
OX,378.0,F&P,39298.943810000004,-0.48359058200000005,November,2016,6373.0,3,2,9
NI,403.0,T&R,338283.1465,-0.04274655,November,2015,0.0,2,6,9
NI,440.0,F&P,1482598.977,0.39379728,November,2015,6374.0,2,2,9
NI,440.0,F&P,3174320.043,0.39379728,November,2016,6374.0,2,2,9
CB,441.0,F&P,51593.34,-0.596043488,November,2016,6374.0,1,2,9
CB,441.0,F&P,101055.9576,-0.596043488,November,2015,6374.0,1,2,9
NI,455.0,Others,75429.38928999999,0.148744522,November,2015,1098.0,2,5,9
CB,460.0,F&P,5246.94,-0.600047373,November,2015,6373.0,1,2,9
CB,460.0,F&P,20582.7,-0.600047373,November,2016,6373.0,1,2,9
NI,518.0,M&E,101696.9729,-0.570296751,November,2015,6375.0,2,3,9
NI,520.0,T&R,1322994.847,0.922319133,November,2015,1190.0,2,6,9
NI,532.0,T&R,337815.184,4.276620451,November,2015,7574.0,2,6,9
NI,540.0,T&R,347312.4221,1.904847873,November,2015,7684.0,2,6,9
NI,560.0,A&F,170037.05,-0.409902106,November,2015,4987.0,2,0,9
NI,560.0,A&F,406954.375,-0.409902106,November,2016,4987.0,2,0,9
NI,562.0,A&F,120602.0653,-0.43120708399999996,November,2015,6277.0,2,0,9
NI,590.0,T&R,59977.5482,-0.504896735,November,2016,7382.0,2,6,9
NI,590.0,T&R,87037.37081000001,-0.504896735,November,2015,7382.0,2,6,9
AR,612.0,A&F,80438.31446000001,-0.337577921,November,2015,7975.0,0,0,9
AR,612.0,A&F,206326.2543,-0.337577921,November,2016,7975.0,0,0,9
NI,622.0,M&E,83070.10813,0.126202049,November,2015,986.0,2,3,9
NI,644.0,A&F,218303.2078,0.110949466,November,2015,4692.0,2,0,9
NI,644.0,A&F,497459.2163,0.110949466,November,2016,4692.0,2,0,9
NI,658.0,T&R,442747.0019,-0.218889833,November,2015,7684.0,2,6,9
NI,671.0,T&R,447642.4864,4.276620451,November,2015,7574.0,2,6,9
NI,747.0,M&E,43881.967860000004,-0.31988600899999997,November,2015,897.0,2,3,9
CB,766.0,T&R,3818.24,-0.599049996,November,2016,7392.0,1,6,9
CB,766.0,T&R,32817.91422,-0.599049996,November,2015,7392.0,1,6,9
NI,772.0,M&E,24676.557269999998,-0.563647915,November,2015,791.0,2,3,9
OX,780.0,Others,6344.41396,-0.592797347,November,2016,1098.0,3,5,9
OX,780.0,Others,8657.027728000001,-0.592797347,November,2015,1098.0,3,5,9
CB,873.0,M&E,406976.8219,-0.5482839620000001,November,2015,6099.0,1,3,9
CB,873.0,M&E,945339.3994,-0.5482839620000001,November,2016,6099.0,1,3,9
NI,920.0,F&P,7769.7241730000005,-0.51263139,November,2015,1174.0,2,2,9
NI,925.0,T&R,302686.7087,0.149272784,November,2015,5696.0,2,6,9
NI,925.0,T&R,927223.5525,0.149272784,November,2016,5696.0,2,6,9
NI,955.0,T&R,184856.5431,-0.119736566,November,2015,1182.0,2,6,9
NI,955.0,T&R,328521.2095,-0.119736566,November,2016,1182.0,2,6,9
NI,983.0,A&F,21540.18695,-0.409902106,November,2015,4987.0,2,0,9
NI,983.0,A&F,45879.484039999996,-0.409902106,November,2016,4987.0,2,0,9
NI,994.0,M&E,67851.93156,-0.445163105,November,2016,6275.0,2,3,9
NI,994.0,M&E,179754.6758,-0.445163105,November,2015,6275.0,2,3,9
NI,1009.0,T&R,34848.33732,-0.47158435299999996,November,2015,1399.0,2,6,9
OX,1030.0,A&F,54563.91502000001,-0.5190491279999999,November,2015,992.0,3,0,9
OX,1031.0,A&F,134642.7918,-0.481100818,November,2015,992.0,3,0,9
CB,1032.0,A&F,118187.7631,-0.597714245,November,2015,992.0,1,0,9
CB,1032.0,A&F,775816.1751,-0.597714245,November,2016,992.0,1,0,9
CB,1033.0,A&F,163172.0399,-0.597714245,November,2015,992.0,1,0,9
CB,1033.0,A&F,908198.3082,-0.597714245,November,2016,992.0,1,0,9
NI,1035.0,T&R,56352.40982000001,1.904847873,November,2015,7684.0,2,6,9
NI,1039.0,F&P,60226.76972999999,-0.525729332,November,2015,6373.0,2,2,9
NI,1039.0,F&P,239883.9571,-0.525729332,November,2016,6373.0,2,2,9
CB,1042.0,M&E,176203.2517,-0.5482839620000001,November,2015,6099.0,1,3,9
CB,1042.0,M&E,416786.0797,-0.5482839620000001,November,2016,6099.0,1,3,9
CB,1043.0,M&E,149341.2958,-0.5482839620000001,November,2015,6099.0,1,3,9
CB,1043.0,M&E,439741.0104,-0.5482839620000001,November,2016,6099.0,1,3,9
CB,1044.0,F&P,17481.13605,-0.59842733,November,2016,6373.0,1,2,9
CB,1044.0,F&P,53418.364519999996,-0.59842733,November,2015,6373.0,1,2,9
NI,1071.0,T&R,702945.5159,1.528726399,November,2015,3492.0,2,6,9
NI,1071.0,T&R,2438212.121,1.528726399,November,2016,3492.0,2,6,9
NI,1090.0,M&E,16791.17831,-0.577914489,November,2015,6099.0,2,3,9
NI,1090.0,M&E,18852.22137,-0.577914489,November,2016,6099.0,2,3,9
CB,1095.0,F&P,7095.9758329999995,-0.600047373,November,2015,6373.0,1,2,9
CB,1095.0,F&P,24396.78871,-0.600047373,November,2016,6373.0,1,2,9
OX,1098.0,MD,7053.181103,-0.55194918,November,2016,2085.0,3,4,9
NI,1099.0,M&E,217248.0805,-0.38278445899999997,November,2015,1386.0,2,3,9
NI,1099.0,M&E,598444.3344,-0.38278445899999997,November,2016,1386.0,2,3,9
OX,1100.0,MD,9861.686816,-0.579988151,November,2016,5295.0,3,4,9
OX,1100.0,MD,16743.07518,-0.579988151,November,2015,5295.0,3,4,9
NI,1106.0,T&R,754612.5861,4.276620451,November,2015,7574.0,2,6,9
NI,1107.0,T&R,204180.5819,-0.388741622,November,2016,5287.0,2,6,9
NI,1107.0,T&R,464123.2063,-0.388741622,November,2015,5287.0,2,6,9
NI,1111.0,F&P,29735.09773,-0.505484568,November,2015,6370.0,2,2,9
NI,1111.0,F&P,129071.11300000001,-0.505484568,November,2016,6370.0,2,2,9
CB,1112.0,F&P,3887.78629,-0.5908087329999999,November,2015,1174.0,1,2,9
CB,1112.0,F&P,17989.2641,-0.5908087329999999,November,2016,1174.0,1,2,9
OX,1116.0,MD,34063.94033,-0.542085947,November,2015,6096.0,3,4,9
OX,1116.0,MD,69864.05139,-0.542085947,November,2016,6096.0,3,4,9
OX,1117.0,MD,22186.68057,-0.542085947,November,2015,6096.0,3,4,9
OX,1117.0,MD,29098.021139999997,-0.542085947,November,2016,6096.0,3,4,9
OX,1119.0,MD,18888.17357,-0.5767628379999999,November,2015,1599.0,3,4,9
OX,1119.0,MD,19498.0812,-0.5767628379999999,November,2016,1599.0,3,4,9
NI,1124.0,T&R,357086.9596,0.369085137,November,2016,5287.0,2,6,9
NI,1124.0,T&R,493388.6038,0.369085137,November,2015,5287.0,2,6,9
NI,1125.0,T&R,18363.42846,0.369085137,November,2016,5287.0,2,6,9
NI,1125.0,T&R,22928.13611,0.369085137,November,2015,5287.0,2,6,9
NI,1126.0,T&R,221453.9934,0.369085137,November,2016,5287.0,2,6,9
NI,1126.0,T&R,479434.0887,0.369085137,November,2015,5287.0,2,6,9
NI,1136.0,F&P,13095.62631,-0.591397701,November,2016,6275.0,2,2,9
OX,15.0,Others,58948.79157,0.148744522,October,2016,1098.0,3,5,10
NI,19.0,Chemicals,25961.02404,1.311563185,October,2016,6099.0,2,1,10
NI,58.0,F&P,37693.64738,-0.5493979520000001,October,2016,1284.0,2,2,10
AR,66.0,Others,492485.7836,2.20539035,October,2016,5288.0,0,5,10
NI,133.0,F&P,61690.71807,-0.48359058200000005,October,2016,6373.0,2,2,10
NI,148.0,T&R,310772.6483,-0.388741622,October,2016,5287.0,2,6,10
NI,178.0,T&R,35177.18984,0.398252362,October,2016,3492.0,2,6,10
NI,244.0,Others,136372.6921,-0.510435148,October,2016,4988.0,2,5,10
NI,270.0,T&R,6560.734055,-0.388741622,October,2016,5287.0,2,6,10
OX,272.0,MD,28787.522360000003,-0.475529975,October,2016,5746.0,3,4,10
NI,288.0,F&P,60433.268560000004,-0.551440209,October,2016,7389.0,2,2,10
NI,345.0,T&R,160315.8924,1.528726399,October,2016,3492.0,2,6,10
NI,348.0,T&R,891328.3882,0.84524383,October,2016,7687.0,2,6,10
CB,370.0,T&R,25008.7498,-0.595282627,October,2016,1098.0,1,6,10
OX,378.0,F&P,43702.877960000005,-0.48359058200000005,October,2016,6373.0,3,2,10
NI,440.0,F&P,377481.3392,0.39379728,October,2016,6374.0,2,2,10
CB,441.0,F&P,11960.26,-0.596043488,October,2016,6374.0,1,2,10
CB,460.0,F&P,17615.4,-0.600047373,October,2016,6373.0,1,2,10
NI,560.0,A&F,375309.8478,-0.409902106,October,2016,4987.0,2,0,10
NI,590.0,T&R,214746.955,-0.504896735,October,2016,7382.0,2,6,10
AR,612.0,A&F,189896.806,-0.337577921,October,2016,7975.0,0,0,10
NI,644.0,A&F,484004.4136,0.110949466,October,2016,4692.0,2,0,10
CB,766.0,T&R,3042.66,-0.599049996,October,2016,7392.0,1,6,10
OX,780.0,Others,21215.997000000003,-0.592797347,October,2016,1098.0,3,5,10
CB,873.0,M&E,459523.6686,-0.5482839620000001,October,2016,6099.0,1,3,10
NI,925.0,T&R,143436.2488,0.149272784,October,2016,5696.0,2,6,10
NI,955.0,T&R,340395.1738,-0.119736566,October,2016,1182.0,2,6,10
NI,983.0,A&F,43678.6447,-0.409902106,October,2016,4987.0,2,0,10
NI,994.0,M&E,349928.5834,-0.445163105,October,2016,6275.0,2,3,10
CB,1032.0,A&F,722458.3749,-0.597714245,October,2016,992.0,1,0,10
CB,1033.0,A&F,890415.1379999999,-0.597714245,October,2016,992.0,1,0,10
NI,1039.0,F&P,70764.41368,-0.525729332,October,2016,6373.0,2,2,10
CB,1042.0,M&E,484533.0264,-0.5482839620000001,October,2016,6099.0,1,3,10
CB,1043.0,M&E,330319.7642,-0.5482839620000001,October,2016,6099.0,1,3,10
NI,1071.0,T&R,965656.7133,1.528726399,October,2016,3492.0,2,6,10
NI,1090.0,M&E,41305.52368,-0.577914489,October,2016,6099.0,2,3,10
CB,1095.0,F&P,21798.03224,-0.600047373,October,2016,6373.0,1,2,10
OX,1098.0,MD,7131.835505,-0.55194918,October,2016,2085.0,3,4,10
NI,1099.0,M&E,616431.9779,-0.38278445899999997,October,2016,1386.0,2,3,10
OX,1100.0,MD,13059.964390000001,-0.579988151,October,2016,5295.0,3,4,10
NI,1107.0,T&R,330257.0956,-0.388741622,October,2016,5287.0,2,6,10
NI,1111.0,F&P,180483.3064,-0.505484568,October,2016,6370.0,2,2,10
CB,1112.0,F&P,16940.5198,-0.5908087329999999,October,2016,1174.0,1,2,10
OX,1116.0,MD,72307.24456,-0.542085947,October,2016,6096.0,3,4,10
OX,1117.0,MD,51501.81871,-0.542085947,October,2016,6096.0,3,4,10
OX,1119.0,MD,20506.7434,-0.5767628379999999,October,2016,1599.0,3,4,10
NI,1124.0,T&R,325341.9868,0.369085137,October,2016,5287.0,2,6,10
NI,1125.0,T&R,6877.069195,0.369085137,October,2016,5287.0,2,6,10
NI,1126.0,T&R,358196.4161,0.369085137,October,2016,5287.0,2,6,10
NI,1136.0,F&P,12418.57173,-0.591397701,October,2016,6275.0,2,2,10
OX,15.0,Others,25112.821330000002,0.148744522,September,2016,1098.0,3,5,11
NI,19.0,Chemicals,29782.276710000002,1.311563185,September,2016,6099.0,2,1,11
NI,58.0,F&P,32775.31231,-0.5493979520000001,September,2016,1284.0,2,2,11
AR,66.0,Others,450536.2044,2.20539035,September,2016,5288.0,0,5,11
NI,133.0,F&P,59949.38397,-0.48359058200000005,September,2016,6373.0,2,2,11
NI,148.0,T&R,292021.3345,-0.388741622,September,2016,5287.0,2,6,11
NI,178.0,T&R,31490.787760000003,0.398252362,September,2016,3492.0,2,6,11
NI,244.0,Others,131441.6668,-0.510435148,September,2016,4988.0,2,5,11
NI,270.0,T&R,7833.297869,-0.388741622,September,2016,5287.0,2,6,11
OX,272.0,MD,27946.144439999996,-0.475529975,September,2016,5746.0,3,4,11
NI,288.0,F&P,13404.941340000001,-0.551440209,September,2016,7389.0,2,2,11
NI,348.0,T&R,867972.7039,0.84524383,September,2016,7687.0,2,6,11
CB,370.0,T&R,172194.1327,-0.595282627,September,2016,1098.0,1,6,11
OX,378.0,F&P,36364.23387,-0.48359058200000005,September,2016,6373.0,3,2,11
NI,440.0,F&P,2512314.65,0.39379728,September,2016,6374.0,2,2,11
CB,441.0,F&P,40374.12,-0.596043488,September,2016,6374.0,1,2,11
CB,460.0,F&P,16827.26,-0.600047373,September,2016,6373.0,1,2,11
NI,560.0,A&F,390952.2546,-0.409902106,September,2016,4987.0,2,0,11
NI,590.0,T&R,185519.521,-0.504896735,September,2016,7382.0,2,6,11
AR,612.0,A&F,184320.5159,-0.337577921,September,2016,7975.0,0,0,11
NI,644.0,A&F,395552.0455,0.110949466,September,2016,4692.0,2,0,11
CB,766.0,T&R,3543.49,-0.599049996,September,2016,7392.0,1,6,11
OX,780.0,Others,6172.656145,-0.592797347,September,2016,1098.0,3,5,11
CB,873.0,M&E,920850.1058,-0.5482839620000001,September,2016,6099.0,1,3,11
NI,925.0,T&R,1032858.443,0.149272784,September,2016,5696.0,2,6,11
NI,955.0,T&R,328848.9883,-0.119736566,September,2016,1182.0,2,6,11
NI,983.0,A&F,44182.94298,-0.409902106,September,2016,4987.0,2,0,11
NI,994.0,M&E,503071.0412,-0.445163105,September,2016,6275.0,2,3,11
CB,1032.0,A&F,587889.4063,-0.597714245,September,2016,992.0,1,0,11
CB,1033.0,A&F,924420.9612,-0.597714245,September,2016,992.0,1,0,11
NI,1039.0,F&P,206445.4338,-0.525729332,September,2016,6373.0,2,2,11
